trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.30197425642467,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.26177442282173,"{0: 13, 1: 2, 2: 13, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-172.50752576857371,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.83987396658614,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,8,-23.87571208952082,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,11,5.039545672043673,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-11.694374001249056,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.38976812545819,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.9669010453053,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.98917309332157,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,7,-67.74490887927425,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.44284863661716,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,15,1.7782179990065345,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.609503733635805,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.91735800589592,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.40921030144825,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.728414575759246,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.41762256099997,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.22898013958022,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.96860890885594,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.23055638256099,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
